semana;rrss_impresiones;rrss_inversion
23/11/2015;72902852.71;155283.0763
30/11/2015;16580099.55;66005.37631
07/12/2015;49953773.67;162699.4408
14/12/2015;31648297.03;112034.9715
21/12/2015;8801269.479;32115.83233
28/12/2015;49901081.11;135331.732
04/01/2016;41146695.82;141585.7803
11/01/2016;56553690.6;135163.3205
18/01/2016;35729563.64;139631.1347
25/01/2016;31860260.55;65409.11491
01/02/2016;0;0
08/02/2016;34248657.55;129117.439
15/02/2016;15188759.02;42604.46905
22/02/2016;0;0
29/02/2016;32457460.73;86693.87761
07/03/2016;0;0
14/03/2016;0;0
21/03/2016;0;0
28/03/2016;80240679.46;168906.6303
04/04/2016;3438178.323;8856.74736
11/04/2016;0;0
18/04/2016;28248364.1;63191.59049
25/04/2016;0;0
02/05/2016;0;0
09/05/2016;0;0
16/05/2016;50754966.77;106940.715
23/05/2016;0;0
30/05/2016;0;0
06/06/2016;0;0
13/06/2016;0;0
20/06/2016;33453960.66;71089.6664
27/06/2016;0;0
04/07/2016;0;0
11/07/2016;0;0
18/07/2016;33728872.87;124493.2698
25/07/2016;0;0
01/08/2016;53604561.39;192440.3754
08/08/2016;0;0
15/08/2016;15372941.62;41491.56943
22/08/2016;11663166.53;25565.66103
29/08/2016;0;0
05/09/2016;3878870.365;14185.02892
12/09/2016;0;0
19/09/2016;54563098.36;208267.3464
26/09/2016;0;0
03/10/2016;42678536.94;102727.2384
10/10/2016;46049657.17;184152.579
17/10/2016;61416892.42;164904.3561
24/10/2016;63941540.26;213436.8614
31/10/2016;71764591.94;180918.5363
07/11/2016;64032311.37;165715.6218
14/11/2016;52198572.16;105493.3143
21/11/2016;80484549.89;167166.4101
28/11/2016;53735753.5;194738.3707
05/12/2016;21468926.03;56012.42801
12/12/2016;29471934.6;113702.7237
19/12/2016;14121124.69;44778.08639
26/12/2016;68536049.5;252486.8064
02/01/2017;58170140.21;136525.3191
09/01/2017;58670678.03;155770.6502
16/01/2017;56038474.62;145924.1879
23/01/2017;86757062.44;233550.0121
30/01/2017;60053669.93;141846.7684
06/02/2017;0;0
13/02/2017;88204178.52;195548.6638
20/02/2017;0;0
27/02/2017;142690898.2;449619.0202
06/03/2017;0;0
13/03/2017;0;0
20/03/2017;0;0
27/03/2017;31146280.42;109105.4203
03/04/2017;0;0
10/04/2017;0;0
17/04/2017;0;0
24/04/2017;0;0
