semana;sem_clicks;sem_inversion
23/11/2015;0;0
30/11/2015;29511.71546;30131.46148
07/12/2015;36132.35896;36060.09424
14/12/2015;36804.21096;31467.60037
21/12/2015;28401.74407;21443.31677
28/12/2015;38061.77591;38099.83769
04/01/2016;36289.51378;38140.27898
11/01/2016;34765.10899;32192.49092
18/01/2016;28023.4815;25669.50905
25/01/2016;21069.73925;15170.21226
01/02/2016;28023.9773;28892.7206
08/02/2016;21323.33197;16141.7623
15/02/2016;0;0
22/02/2016;0;0
29/02/2016;16067.67012;13753.92562
07/03/2016;28877.38417;24083.7384
14/03/2016;17065.23476;15529.36363
21/03/2016;21110.45735;21321.56192
28/03/2016;18271.14539;15292.94869
04/04/2016;13909.65659;14062.66281
11/04/2016;13329.7719;13822.97346
18/04/2016;17090.72333;13706.76011
25/04/2016;12314.67422;10799.96929
02/05/2016;11055.04348;11331.41957
09/05/2016;13268.14271;10083.78846
16/05/2016;0;0
23/05/2016;0;0
30/05/2016;13697.36256;13396.02058
06/06/2016;9330.996159;8267.262597
13/06/2016;14439.94311;13804.58561
20/06/2016;13426.18537;14701.67298
27/06/2016;11025.09151;8401.119731
04/07/2016;13000.97539;13378.00368
11/07/2016;17558.74219;14924.93086
18/07/2016;12646.61028;11129.01705
25/07/2016;18869.83387;20492.63958
01/08/2016;20555.1551;19897.39014
08/08/2016;21913.05633;20729.75129
15/08/2016;0;0
22/08/2016;0;0
29/08/2016;27453.53936;28743.85571
05/09/2016;21811.12699;19062.92499
12/09/2016;30396.49893;30305.30943
19/09/2016;31697.68061;25167.9584
26/09/2016;22420.11815;16478.78684
03/10/2016;28940.12738;29142.70827
10/10/2016;37640.48678;37113.51997
17/10/2016;36705.0621;33511.7217
24/10/2016;31599.39534;30240.62134
31/10/2016;34659.92398;33446.82664
07/11/2016;42223.9927;38761.6253
14/11/2016;0;0
21/11/2016;0;0
28/11/2016;73955.95632;60052.23653
05/12/2016;65123.98793;45717.03953
12/12/2016;52768.86061;56884.83174
19/12/2016;47686.78427;50500.30454
26/12/2016;77849.586;79017.32979
02/01/2017;58179.84153;46020.25465
09/01/2017;63213.96521;51456.16768
16/01/2017;61912.6341;61850.72147
23/01/2017;61384.37354;44626.43956
30/01/2017;68123.11287;53885.38228
06/02/2017;44602.76789;45316.41218
13/02/2017;0;0
20/02/2017;0;0
27/02/2017;37539.20492;40617.41972
06/03/2017;46462.99321;33732.13307
13/03/2017;41198.0192;43093.12808
20/03/2017;29804.31852;21220.67479
27/03/2017;45902.22993;40210.35342
03/04/2017;31975.80037;29609.59114
10/04/2017;25465.64866;19812.27466
17/04/2017;27251.5034;27469.51543
24/04/2017;26141.46141;25906.18826
01/05/2017;22180.03825;23333.40024
08/05/2017;18525.61577;20100.29311
15/05/2017;0;0
22/05/2017;0;0
29/05/2017;18580.09291;19639.15821
05/06/2017;18758.71243;18702.43629
12/06/2017;22062.26296;17296.81416
19/06/2017;26777.60258;19494.09468
26/06/2017;20789.34582;20643.8204
03/07/2017;37944.46489;31569.79479
10/07/2017;35559.57852;36199.65093
17/07/2017;33056.5174;35271.30407
24/07/2017;34686.81144;35380.54767
31/07/2017;38038.55553;41614.17975
07/08/2017;53676.18901;43585.06548
14/08/2017;0;0
21/08/2017;0;0
28/08/2017;70335.07472;49234.5523
04/09/2017;44809.82457;43375.91018
11/09/2017;46999.40803;37411.52879
18/09/2017;55166.26943;53676.78016
25/09/2017;72998.56091;59420.82858
02/10/2017;69679.83376;49612.04164
09/10/2017;55293.3578;56565.10503
16/10/2017;72764.83097;55737.86052
23/10/2017;69347.53117;58806.70643
30/10/2017;73130.13117;65305.20713
06/11/2017;78990.71712;79543.65214
13/11/2017;0;0
20/11/2017;0;0
27/11/2017;110717.9037;80934.7876
04/12/2017;91229.41871;76085.3352
11/12/2017;81708.98719;87918.87022
18/12/2017;97406.95193;89029.95406
25/12/2017;90029.68004;79406.1778
01/01/2018;99917.87573;87128.38764
08/01/2018;101549.4327;76162.07453
15/01/2018;95898.97188;99830.82973
22/01/2018;67393.76136;50275.74597
29/01/2018;76315.53595;59526.11804
05/02/2018;96828.85132;68070.68248
12/02/2018;0;0
19/02/2018;0;0
26/02/2018;75508.86226;60633.61639
05/03/2018;68384.0442;51424.80124
12/03/2018;54808.73577;56014.52796
19/03/2018;53429.69321;58612.37345
26/03/2018;44222.37021;47937.04931
02/04/2018;55400.03981;53682.63858
09/04/2018;55494.36157;58380.06837
16/04/2018;50425.56526;43466.83725
23/04/2018;36824.07093;34688.27482
30/04/2018;28654.62717;24385.08772
07/05/2018;45582.27694;35782.0874
14/05/2018;0;0
21/05/2018;0;0
